Org ragione sociale;Studente classe;Org email;telefono;Org sede provincia;Org sede indirizzo;Progetto titolo;Progetto descrizione
AUTO ZUG SERVICE SRLS;5BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;autozugservice@gmail.com;0458203341;VR;VIA NICOLO' COPERNICO, 16/B - VERONA;ELE03 - ADDETTO ALLA DIAGNOSI ELETTRONICA DELL’AUTOVEICOLO\n\n\n\n\n;La figura professionale è in grado di eseguire, su precise indicazioni, operazioni di manutenzione leggera dell’auto, con interventi di normale difficoltà su complessivi e loro parti è inoltre in grado di individuare, con l’uso di attrezzature specifiche, anomalie di funzionamento dell’autoveicolo.\n\n\n\n\n
CAB LOG S.R.L.;4BL TRASPORTI E LOGISTICA ART. LOGISTICA; a.traino@cab-log.it;;VR;VIA MARCO BIAGI 11/13 - OPPEANO;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
HOMEPAGE SRL;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;m.bazzotti@mos80.it;;VR;VIA CASERMA OSPEDAL VECCHIO 6B - VERONA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
ROSSETTO TRADE SPA;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;panificio@rossettogroup.it;0456861622;VR;VIA FRIULI 5 - LUGAGNANO DI SONA;LOG05 Tecnico della vendita e della distribuzione \n\n;Assistono gli specialisti nella implementazione delle strategie di vendita delle imprese, nel controllo della efficienza della rete distributiva e commerciale e nel monitoraggio delle vendite, applicano le procedure fissate per raccogliere informazioni sulle vendite e sulle attività di distribuzione, per analizzarle, organizzarle e presentarle in maniera rilevante e significativa a specialisti e responsabili del settore\n\n\n
TECNOSERVICE SRL;5AL TRASPORTI E LOGISTICA ART. LOGISTICA;risorse@tenoservicesrl.info;0458009926;VR;VIALE PIAVE 16 - VERONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
AUTOTRASPORTI CTV VERONA S.R.L.;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;amministrazione@ctvtrasporti.it;0458738818;VR;VIA CARDUCCI 4A - ZEVIO;LOG06 Tecnico del trasporto modale ed intermodale \n\n;Coordina le attività di trasporto( navale, stradale, ferroviario ed aereo) vigilando sul rispetto delle regole e controlla il corretto utilizzo di aree  e beni\n\n\n
AMIA - AZIENDA MULTISERVIZI DI IGIENE AMBIENTALE DI VERONA;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;amia.verona@amiavr.it;0458063459;VR;VIA BARTOLOMEO AVESANI 31 - VERONA;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
UNIMEC SRL;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;unimec@unimecsrl.eu;0458780620;VR;VIA MEUCCI 25 - SAN MARTINO BUON ALBERGO;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
HYPHEN - ITALIA S.R.L.;3FI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;saraceno.a@hypen-italia.com;0456203200;VR;VIA MARCONI, 14 - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
AGRILAND 24 SRL;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@agriland24.com;;TN;CORSO PASSO BUOLE 5/A - ALA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
