TIPO_AZIENDA;RAGIONE_SOCIALE;SITO;N_DIPENDENTI;DATA_CONVENZIONE;CODICE_ATECO;DESC_ATECO
AZIENDA;16 TELEFONIA SAS;;1;;;
AZIENDA;2M SAS DI MARCHESINI P E C;;3;;432201;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manute
AZIENDA;3102 SRL;;;;;
AZIENDA;3C ELABORAZIONE DATI S.R.L.;;20;;;
AZIENDA;4 FLYING SRL;http://www.4-flying.com/;;;181300;Lavorazioni preliminari alla stampa e ai media
AZIENDA;4 SERVICE SOLUTION SRL;www.4servicesolution.it;9;16/05/2019;6201;Produzione di software non connesso all'edizione
AZIENDA;6 COM SRL;;12;06/05/2019;93293;Sale giochi e biliardi
AZIENDA;A VARITT SRL;www.varitt.it;;06/04/2019;61901;Erogazione di servizi di accesso ad internet (ISP)
AZIENDA;A.A. AUTOMATISMI ANTIFURTI SRL;http://www.aaverona.it;2;;46473;Commercio all'ingrosso di articoli per l'illuminazione  materiale elettrico vario per uso domestico
AZIENDA;A.A.T.C. AND CO S.R.L.;WWW.AATC.IT;;;;
AZIENDA;A.ESSE IMPIANTI S.R.L.;www.aesseimpianti.it;;;;
ASSOCIAZIONE;A.P.S. CUCINAVERARTE;;;;;
AZIENDA;A.R. ELETTRONIC SAS DI RENON A. & C;www.arelectronic.com;;;;
AZIENDA;A.T.E. SRL;;65;;222999;
AZIENDA;A.T.M. SAS DI AIANI CLAUDIO & C.;;10;;251100;Fabbricazione di strutture metalliche e parti assemblate di strutture
AZIENDA;ABATEL SNC;http://www.abatel.it/;2;;464310;Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video
AZIENDA;ABC...STUDI SRL;WWW.ABCSTUDI.COM;5;;;
AZIENDA;ABERFOND SRL;aberfond.com;15;;;
AZIENDA;ABISIT SRL;www.absit.it;4;;;
AZIENDA;ABRASIVI ADRIA SRL;www.abrasiviadria.com;85;03/04/2018;20594;Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e anti
AZIENDA;ACCENTURE S.P.A.;www.accenture.com;500;;;
AZIENDA;ACCIAIERIE DI VERONA;;350;14/03/2018;241000;Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe
AZIENDA;ACI SNC DI GANGI ELEONORA L.C.;;7;;261109;Fabbricazione di altri componenti elettronici
AZIENDA;ACLI PROVINCIALI DI VERONA;www.acliverona.it;4;24/05/2019;949910;Attività di organizzazioni per la tutela degli interessi e dei diritti dei cittadini
AZIENDA;ACRAM S.R.L.;http://www.acram.it;;;;
AZIENDA;ADAMI AUTOTRASPORTI S.P.A.;www.adamitrasporti.com;;;;
AZIENDA;ADAMI TECNICA BILIARDI SRL;www.adamibiliardi.com;5;;920002;Gestione di apparecchi che consentono vincite in denaro funzionanti a moneta o a gettone
AZIENDA;ADD VALUE S.P.A.;;;;;
AZIENDA;AELLE DI ORIANA TODESCO;aelleverona.it;;;;
AZIENDA;AEMMETEL S.R.L.;www.aemmetel.com;5;;;
ENTE PUBBLICO;AERONAUTICA - 3° STORMO VILLAFRANCA;;;;;
AZIENDA;AERRE SISTEMI ELETTRONICI;;;;;
AZIENDA;AFTECH SAS DI FERRARI ALBERTO;;;;;
AZIENDA;AGEC AZIENDA GESTIONE EDIFICI COMUNALI DEL COMUNE DI VERONA;;505;15/05/2019;562910;Mense
AZIENDA;AGRATI-FSP SRL;;52;10/05/2019;46741;Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta)
AZIENDA;AGRICOLA ITALIANA ALIMENTARE  SPA;;695;;109100;Produzione di mangimi per l'alimentazione degli animali da allevamento
AZIENDA;AGRICOLA RIPARAZIONE S.N.C.;;5;;331260;Riparazione e manutenzione di trattori agricoli
AZIENDA;AGRILAND 24 SRL;;2;27/05/2019;47919;
AZIENDA;AGRISERVICE 2016 SRL;www.agriservicespa.it;12;;;
AZIENDA;AGSM VERONA SPA;http://www.agsm.it/;;;;
AZIENDA;AIDI SRL;www.aidisrl.it;9;;466999;
AZIENDA;AITEMA S.R.L.;;2;;;
AZIENDA;AL.BO 2 SRL;;10;;432201;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manute
AZIENDA;ALBA TECNOLOGY SOC COOP;;6;;387596;
AZIENDA;ALBI DI ALBI GIUSEPPE;www.camperallestimenti.it;0;;292;FABBRICAZIONE DI CARROZZERIE PER AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI
AZIENDA;ALCOFER S.R.L.;tuttoferramenta.it;;22/05/2019;;
AZIENDA;ALDEBRA S.P.A.;www.aldebra.com/it/soluzioni-informatiche;;;;
AZIENDA;ALFA SERVICE S.R.L.;www.alfaservice.it;3;;;
AZIENDA;ALL SERVICES  SRL;http://www.all-services.it/;;;;
AZIENDA;ALOISI ANDREA;;;;351907;
AZIENDA;ALPEGO S.P.A.;www.alpego.com;86;;28309;Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia
AZIENDA;ALTURAS SISTEMI S.R.L.;www.alturas.it;;;;
AZIENDA;AMBROSI IMPIANTI SNC;;4;;432101;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;AMBROSI MATTEO;;1;;;
AZIENDA;AMIA - AZIENDA MULTISERVIZI DI IGIENE AMBIENTALE DI VERONA;www.amiavr.it;600;;382109;Trattamento e smaltimento di altri rifiuti non pericolosi
AZIENDA;AMT AZIENDA MOBILITA' E TRASPORTI S.P.A.;www.amt.it;53;27/05/2019;522125;
AZIENDA;ANDERLONI ARREDAMENTI;www.anderloniarredamenti.it;;;;
AZIENDA;ANDREA BURATO CONSULENZE INFORMATICHE;;1;;;
AZIENDA;ANDREA GNESATO;www.zeta.uno;;;;
AZIENDA;ANDREA IMPIANTI DI TEZZA ANDREA;;8;09/04/2018;432101;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;ANODALL EXTRUSION S.P.A.;www.anodallgroup.com;;;;
AZIENDA;ANS;www.ansystem.eu;;;9511;Riparazione di computer e periferiche
AZIENDA;ANT SRL;www.antsrl.eu;;;;
