ID;TIPO_AZIENDA;RAGIONE_SOCIALE;COMUNE;PROVINCIA;STATO;INDIRIZZO;CAP;TELEFONO;EMAIL;SITO;N_DIPENDENTI;DATA_CONVENZIONE;INDIRIZZO;CODICE_ATECO;DESC_ATECO
47986;AZIENDA;16 TELEFONIA SAS;VERONA;VR;ITALIA;VIA MANTOVANA 91/C;37100;0456930482;16telefonia@gmail.com;;1;;INFORMATICA;;
112238;AZIENDA;2M SAS DI MARCHESINI P E C;VERONA;VR;ITALIA;VIA CAOVILLA 8;37100;045942329;2msas@libero.it;;3;;COSTRUZIONE DEL MEZZO;43.22.01;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manute
1481;AZIENDA;3102 SRL;VERONA;VR;ITALIA;VIA ISONZO,11;37126;3496616186;marcello.fiori@3102.it;;;;INFORMATICA;;
16092;AZIENDA;3C ELABORAZIONE DATI S.R.L.;SAN GIOVANNI LUPATOTO;VR;ITALIA;PIAZZA CARLO ZINELLI, 1;37057;0458221069;orietta.antoniazzi@3ced.org;;20;;INFORMATICA;;
1992;AZIENDA;4 FLYING SRL;ZEVIO;VR;ITALIA;VIA EDISON 6;37059;0458731908;amministrazione@4-flying.com;http://www.4-flying.com/;;;INFORMATICA;18.13.00;Lavorazioni preliminari alla stampa e ai media
112160;AZIENDA;4 SERVICE SOLUTION SRL;AFFI;VR;ITALIA;VIA GIOVANNI PASCOLI 4;37010;0452050220;amministrazione@4servicesolution.it;www.4servicesolution.it;9;16-05-2019;INFORMATICA;62.01;Produzione di software non connesso all'edizione
137011;AZIENDA;6 COM SRL;SAN GIOVANNI LUPATOTO;VR;ITALIA;VIA MONTE PASTELLO 9;37057;045 8751430;info@6comsrl.it;;12;06-05-2019;ELETTRONICA;93.29.3;Sale giochi e biliardi
67676;AZIENDA;A VARITT SRL;EMPOLI;FI;ITALIA;VIA DELLA PIOVOLA ,138;50053;3485991723;;www.varitt.it;;06-04-2019;TELECOMUNICAZIONI;61.90.1;Erogazione di servizi di accesso ad internet (ISP)
53053;AZIENDA;A.A. AUTOMATISMI ANTIFURTI SRL;SAN MARTINO BUON ALBERGO;VR;ITALIA;VIA ADAMELLO 12/B;37036;045992338;info@aaverona.it;http://www.aaverona.it;2;;COSTRUZIONE DEL MEZZO;46.47.3;Commercio all'ingrosso di articoli per l'illuminazione  materiale elettrico vario per uso domestico
13501;AZIENDA;A.A.T.C. AND CO S.R.L.;SANT'AMBROGIO DI VALPOLICELLA;VR;ITALIA;VIA NAPOLEONE, 8;37015;0456861627;contabilita@aatc.it;WWW.AATC.IT;;;LOGISTICA;;
