Ragione_sociale;tipo;comune;provincia;nazione;indirizzo;cap;telefono;mail;sito;ndip;data_conv;indirizzo_studio;cod_ateco
AUTO ZUG SERVICE SRLS;AZIENDA;comune;VR;nazione;indirizzo;cap;0458203341;autozugservice@gmail.com;;;02/05/2019;indirizzo_studio;
CAB LOG S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;; a.traino@cab-log.it;;;13/05/2019;indirizzo_studio;
HOMEPAGE SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;m.bazzotti@mos80.it;www.mos80.it;;20/05/2019;indirizzo_studio;
ROSSETTO TRADE SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0456861622;panificio@rossettogroup.it;http://rossettogroup.it/;;18/12/2015;indirizzo_studio;471120
TECNOSERVICE SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458009926;risorse@tenoservicesrl.info;www.tecnoservicesrl.info;104;27/12/2018;indirizzo_studio;52291
AUTOTRASPORTI CTV VERONA S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458738818;amministrazione@ctvtrasporti.it;www.ctvtrasporti.it;;;indirizzo_studio;
AMIA - AZIENDA MULTISERVIZI DI IGIENE AMBIENTALE DI VERONA;AZIENDA;comune;VR;nazione;indirizzo;cap;0458063459;amia.verona@amiavr.it;www.amiavr.it;600;;indirizzo_studio;382109
UNIMEC SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458780620;unimec@unimecsrl.eu;;10;07/05/2019;indirizzo_studio;282999
HYPHEN - ITALIA S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456203200;saraceno.a@hypen-italia.com;;;;indirizzo_studio;
AGRILAND 24 SRL;AZIENDA;comune;TN;nazione;indirizzo;cap;;info@agriland24.com;;2;27/05/2019;indirizzo_studio;47919
CASAESPORT DI LAURA BELTRAME;AZIENDA;comune;VR;nazione;indirizzo;cap;0452226408;info@casaesport.it;www.casaesport.it;1;;indirizzo_studio;475999
ARCESE TRASPORTI SPA;AZIENDA;comune;TN;nazione;indirizzo;cap;0454573216;recruiting@arcese.com;;919;23/05/2019;indirizzo_studio;494100
TMB SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458774299;tmb@tmbvac.it;www.tmbvacuum.com;27;10/05/2019;indirizzo_studio;282999
BLUE MILK SRL;AZIENDA;comune;;nazione;indirizzo;cap;;andrea@bluemilk.it;;;20/05/2019;indirizzo_studio;
NST AUTOMATION SRLS;AZIENDA;comune;VR;nazione;indirizzo;cap;0458203319;nst@nstautomation.it;;13;18/05/2019;indirizzo_studio;432102
OFFICINA CAILOTTO SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458624211;tiziano.martinelli@officinecailotto.it;;78;23/05/2019;indirizzo_studio;
INTESYS  S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458205513;alessandro.cortiana@intesys.it;ww.intesys.it;;27/05/2019;indirizzo_studio;6209
4 SERVICE SOLUTION SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0452050220;amministrazione@4servicesolution.it;www.4servicesolution.it;9;16/05/2019;indirizzo_studio;6201
ASSOCIAZIONE VERONA FABLAB;ASSOCIAZIONE;comune;VR;nazione;indirizzo;cap;3440458663;scuola@veronafablab.it;www.veronafablab.it;3;08/01/2019;indirizzo_studio;949920
C.L. TECH SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458766758;info@cltechtrade.com;;;;indirizzo_studio;
C.L. TECH SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458766758;info@cltechtrade.com;www.cltechsrl.it;5;24/05/2019;indirizzo_studio;
ROBIT SAS DI BOVO MAURIZIO & C.;AZIENDA;comune;VR;nazione;indirizzo;cap;;robit@robit.com;www.robit.com;;27/05/2019;indirizzo_studio;
FAIRMAT SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458012030;amministrazione@fairmat.com;www.fairmat.it ;17;06/05/2019;indirizzo_studio;702
DELTA ERRE SAFE S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0459251754;ongaro@deltaerresafe.it;;14;;indirizzo_studio;263021
PEROZENI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0457050735;personale1@perozeni.it;www.perozeni.it;74;07/06/2019;indirizzo_studio;256200
MAN TRUCK & BUS ITALIA SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0458299646;elisa.disalvo@man.eu;www.mantrukandbus.it;196;13/05/2019;indirizzo_studio;451902
BPS COMPUTER SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045549872;stefania@bpscomputer.it;www.bpscomputer.it;;14/05/2019;indirizzo_studio;474100
TH. KOHL S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456511811; info@thkohl.it;www.thkohl.it;65;;indirizzo_studio;310121
